NECTA,fips,state,msa,population,total_postings,total_supply,supply_demand_ratio,supply_demand_qualifier,location_quotient,location_quotient_qualifier,top_job_1,top_job_2,top_job_3,top_job_4,top_job_5,top_job_6,top_job_7,top_job_8,top_job_9,top_job_10,analyze,securely_provision,operate_maintain,protect_defend,investigate,collect_operate,oversight_development,security+_holders,cissp_holders,cipp_holders,cisa_holders,cism_holders,security+_openings,cissp_openings,cipp_openings,cisa_openings,cism_openings
,50,VT,,,312,811,2.6,Very Low,0.4,Very Low,Cyber Security Analyst / Specialist,Network Engineer / Architect,Help Desk Technician / Analyst,Systems Administrator,Server Administrator,Software Developer / Engineer,Auditor,Systems Analyst,Unix Administrator / Engineer,Windows Administrator,109,136,237,92,16,72,101,147,91,<10,17,14,14,65,5,20,25
,53,WA,,,6540,17641,2.7,Very Low,0.9,Average,Cyber Security Analyst / Specialist,Cyber Security Engineer,Network Engineer / Architect,Auditor,Software Developer / Engineer,Systems Engineer,Systems Administrator,Senior Software Developer / Engineer,IT Director,IT Manager,2341,3372,4130,2071,420,909,2103,4641,1846,249,599,251,337,1700,76,898,622
,55,WI,,,2979,7240,2.4,Very Low,0.4,Very Low,Cyber Security Analyst / Specialist,Auditor,Cyber Security Engineer,Network Engineer / Architect,Systems Administrator,Risk Manager / Analyst,Network Administrator,Software Developer / Engineer,IT Director,IT Project Manager,1138,1330,2019,1040,192,576,903,1018,582,26,312,107,41,720,30,472,288
,54,WV,,,830,2565,3.1,Very Low,0.5,Very Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Systems Administrator,Network Engineer / Architect,Unix Administrator / Engineer,Information Assurance Engineer / Analyst,Software Developer / Engineer,Database Analyst / Developer,Help Desk Technician / Analyst,Systems Engineer,235,346,613,213,53,124,148,968,329,12,41,30,208,275,4,71,39
,56,WY,,,85,504,5.9,Average,0.1,Very Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Systems Support Specialist,Network Engineer / Architect,Data / Data Mining Analyst,Systems Engineer,IT Specialist / Engineer,Network Analyst / Specialist,Software Developer / Engineer,Systems Administrator,19,23,74,22,2,17,20,229,38,<10,<10,<10,2,15,2,5,12
,10180,,"Abilene, TX",169578,24,86,3.6,Low,0.1,Very Low,Cyber Security Analyst / Specialist,Computer Support Specialist,Systems Support Specialist,Cyber Security Engineer,,,,,,,6,4,17,4,0,3,7,70,<10,<10,<10,<10,6,7,2,0,3
,10420,,"Akron, OH",704243,362,943,2.6,Very Low,0.4,Very Low,Cyber Security Analyst / Specialist,Auditor,Network Engineer / Architect,Computer Operator,Cyber Security Engineer,Systems Administrator,Systems Engineer,Computer Support Specialist,Systems Support Specialist,Help Desk Technician / Analyst,149,141,236,101,8,63,85,125,75,<10,58,<10,20,88,2,74,34
,10500,,"Albany, GA",153526,85,360,4.2,Average,0.6,Very Low,Cyber Security Analyst / Specialist,Java Developer / Engineer,Senior Software Developer / Engineer,IT Specialist / Engineer,Oracle Database Administrator,Systems Administrator,Computer Support Specialist,Information Assurance Engineer / Analyst,Mainframe Developer,Computer Operator,15,36,50,11,2,16,12,139,22,<10,<10,<10,43,11,0,1,2
,10540,,"Albany, OR",120547,4,14,3.4,Low,0,Very Low,Systems Engineer,Cyber Security Analyst / Specialist,,,,,,,,,0,3,4,0,0,0,0,30,12,<10,<10,<10,0,0,0,0,0
,10580,,"Albany-Schenectady-Troy, NY",881830,709,2340,3.3,Very Low,0.6,Very Low,Cyber Security Analyst / Specialist,Auditor,Network Engineer / Architect,Cyber Security Engineer,Systems Engineer,Systems Administrator,Network Administrator,Risk Manager / Analyst,IT Director,IT Manager,273,255,432,160,18,104,279,185,152,<10,89,29,15,165,3,107,74
,10740,,"Albuquerque, NM",907301,707,1509,2.1,Very Low,0.7,Low,Cyber Security Analyst / Specialist,Systems Administrator,Systems Engineer,Software Developer / Engineer,Network Engineer / Architect,Cyber Security Engineer,Information Assurance Engineer / Analyst,Systems Analyst,Auditor,Computer Scientists / Researchers,198,300,433,144,67,103,172,612,202,<10,39,18,116,144,2,23,22
,10780,,"Alexandria, LA",154484,21,68,3.2,Very Low,0.1,Very Low,Cyber Security Analyst / Specialist,Information Assurance Engineer / Analyst,Computer Support Specialist,IT Specialist / Engineer,Network Administrator,Network Engineer / Architect,Telecommunications Specialist / Engineer,,,,2,5,15,4,0,1,4,40,<10,<10,<10,<10,1,2,0,1,0
,10900,,"Allentown-Bethlehem-Easton, PA-NJ",832327,240,816,3.4,Low,0.3,Very Low,Cyber Security Analyst / Specialist,Auditor,Cyber Security Engineer,Network Administrator,Network Engineer / Architect,Systems Engineer,Systems Administrator,Technical Consultant / Analyst,Computer Support Specialist,IT Director,95,92,159,76,12,36,66,164,99,<10,51,26,7,62,2,57,28
,11020,,"Altoona, PA",125593,12,177,14.8,Very High,0.1,Very Low,Network Engineer / Architect,Cyber Security Analyst / Specialist,Software Developer / Engineer,,,,,,,,2,8,10,1,1,1,2,22,11,<10,<10,<10,0,1,0,1,1
,11100,,"Amarillo, TX",262056,45,470,10.5,Very High,0.2,Very Low,Cyber Security Analyst / Specialist,IT Specialist / Engineer,Computer Support Specialist,Cyber Security Engineer,Auditor,Chief Information Officer,Computer Repair Technician,Electrical Engineer,IT Director,Systems Analyst,11,18,34,14,4,9,10,44,20,<10,<10,<10,2,7,2,1,3
,11180,,"Ames, IA",96021,57,105,1.8,Very Low,0.5,Very Low,Cyber Security Analyst / Specialist,Systems Support Specialist,Systems Administrator,Auditor,Network Analyst / Specialist,.NET Developer / Engineer,Computer Programmer,Computer Support Specialist,Network Administrator,Programmer / Analyst,23,16,32,12,0,6,5,12,<10,<10,<10,<10,1,6,0,8,3
,11260,,"Anchorage, AK",399790,230,585,2.5,Very Low,0.5,Very Low,Cyber Security Analyst / Specialist,Network Engineer / Architect,Systems Administrator,IT Specialist / Engineer,Network Administrator,Network Analyst / Specialist,Cyber Security Engineer,IT Director,Systems Engineer,Systems Analyst,69,69,171,44,7,28,48,926,141,<10,20,17,48,21,2,5,9
,11460,,"Ann Arbor, MI",358880,420,891,2.1,Very Low,0.8,Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Network Engineer / Architect,Devops Engineer,Software Developer / Engineer,Web Developer,Database Administrator,Application Support Analyst,Systems Administrator,Network Analyst / Specialist,98,235,275,146,7,66,93,63,73,<10,35,<10,1,89,0,21,14
,11500,,"Anniston-Oxford-Jacksonville, AL",115620,14,148,10.6,Very High,0.1,Very Low,Cyber Security Analyst / Specialist,Application Developer / Engineer,Network Analyst / Specialist,IT Specialist / Engineer,Network Engineer / Architect,,,,,,9,5,7,6,1,3,2,57,10,<10,<10,<10,0,6,0,5,2
,11540,,"Appleton, WI",233007,86,210,2.4,Very Low,0.3,Very Low,Cyber Security Analyst / Specialist,Network Engineer / Architect,Cyber Security Engineer,Network Administrator,Systems Administrator,Auditor,Technical Consultant / Analyst,Cisco Engineer,Data Center Technician / Engineer,Attorney,35,31,65,40,6,19,12,30,24,<10,10,<10,3,26,0,4,3
,11700,,"Asheville, NC",446840,51,179,3.5,Low,0.1,Very Low,Cyber Security Analyst / Specialist,Systems Administrator,IT Director,Network Engineer / Architect,Software Developer / Engineer,IT Specialist / Engineer,Network Administrator,Systems Engineer,Computer Support Specialist,Cyber Security Engineer,3,15,32,3,0,5,15,81,27,<10,<10,<10,1,7,0,0,1
,12020,,"Athens-Clarke County, GA",203189,22,109,4.9,Average,0.1,Very Low,Cyber Security Analyst / Specialist,IT Director,Cyber Security Engineer,IT Specialist / Engineer,Network Administrator,Systems Administrator,Systems Analyst,,,,8,3,15,8,0,6,6,33,10,<10,<10,<10,0,5,2,2,5
,12060,,"Atlanta-Sandy Springs-Roswell, GA",5710795,10709,21413,2,Very Low,1.7,Very High,Cyber Security Analyst / Specialist,Cyber Security Engineer,Auditor,Network Engineer / Architect,Software Developer / Engineer,Systems Engineer,Risk Manager / Analyst,Systems Administrator,IT Manager,Computer Support Specialist,4099,6014,6987,3925,874,1865,3198,2324,1739,211,986,335,285,3240,66,2081,1379
,12100,,"Atlantic City-Hammonton, NJ",274219,125,300,2.4,Very Low,0.4,Very Low,Cyber Security Engineer,Software Developer / Engineer,Auditor,Computer Programmer,Network Engineer / Architect,Systems Engineer,Systems Administrator,Computer Scientists / Researchers,Network Administrator,Unix Administrator / Engineer,22,64,88,42,2,26,37,54,18,<10,<10,<10,4,35,0,9,1
,12220,,"Auburn-Opelika, AL",156993,22,78,3.5,Low,0.2,Very Low,Cyber Security Analyst / Specialist,IT Manager,IT Director,Systems Support Specialist,IT Administrator,IT Specialist / Engineer,,,,,11,3,16,4,10,8,12,129,15,<10,<10,<10,0,9,0,1,8
,12260,,"Augusta-Richmond County, GA-SC",590146,477,2205,4.6,Average,0.9,Average,Cyber Security Analyst / Specialist,Network Engineer / Architect,Systems Administrator,Systems Engineer,Help Desk Technician / Analyst,Cyber Security Engineer,Computer Operator,Network Analyst / Specialist,Software Developer / Engineer,Application Developer / Engineer,137,158,304,121,54,53,94,2243,463,<10,<10,<10,154,103,1,2,12
,12420,,"Austin-Round Rock, TX",2000860,3474,7740,2.2,Very Low,1.5,High,Cyber Security Analyst / Specialist,Cyber Security Engineer,Network Engineer / Architect,Auditor,Software Developer / Engineer,Systems Engineer,Systems Administrator,Technical Consultant / Analyst,Computer Support Specialist,IT Manager,1179,1892,2137,1057,193,507,1087,860,784,60,348,89,42,835,37,462,279
,12540,,"Bakersfield, CA",882176,382,1210,3.2,Very Low,0.5,Very Low,Cyber Security Analyst / Specialist,Systems Administrator,Network Engineer / Architect,Network Administrator,Systems Analyst,Information Assurance Engineer / Analyst,Systems Engineer,Systems Support Specialist,Computer Support Specialist,Engineering Manager,87,100,300,69,9,78,88,666,83,<10,<10,<10,150,36,0,16,10
,12580,,"Baltimore-Columbia-Towson, MD",2797407,10484,22091,2.1,Very Low,3.2,Very High,Cyber Security Analyst / Specialist,Cyber Security Engineer,Software Developer / Engineer,Network Engineer / Architect,Systems Administrator,Systems Engineer,Information Assurance Engineer / Analyst,Senior Software Developer / Engineer,Unix Administrator / Engineer,Auditor,3096,5628,7060,3374,1087,1639,1965,7947,3192,53,392,245,1344,2679,37,747,514
,12620,,"Bangor, ME",152692,76,922,12.1,Very High,0.5,Very Low,Cyber Security Analyst / Specialist,Network Engineer / Architect,Application Developer / Engineer,Systems Analyst,Chief Information Officer,Cyber Security Engineer,IT Director,Software Developer / Engineer,Systems Administrator,Systems Support Specialist,23,14,22,5,1,8,37,59,13,<10,<10,<10,3,4,0,0,0
,12700,,"Barnstable Town, MA",214333,32,119,3.7,Low,0.1,Very Low,IT Manager,Cyber Security Engineer,Systems Administrator,Cyber Security Analyst / Specialist,Systems Analyst,Computer Operator,IT Director,Network Engineer / Architect,,,18,10,18,12,2,6,12,89,22,<10,<10,<10,6,3,0,0,0
,12940,,"Baton Rouge, LA",830480,460,1275,2.8,Very Low,0.5,Very Low,Cyber Security Analyst / Specialist,Auditor,Cyber Security Engineer,IT Director,Systems Administrator,Systems Engineer,Help Desk Technician / Analyst,Network Administrator,Network Engineer / Architect,Computer Support Specialist,114,205,271,119,17,57,131,123,82,<10,86,24,6,68,2,93,17
,12980,,"Battle Creek, MI",134314,84,210,2.5,Very Low,0.6,Very Low,Server Administrator,Cyber Security Analyst / Specialist,Database Administrator,.NET Developer / Engineer,Computer Support Specialist,Systems Support Specialist,Windows Administrator,Cyber Security Engineer,Systems Administrator,Network Administrator,13,17,70,14,0,10,4,86,14,<10,<10,<10,52,9,0,7,1
,13020,,"Bay City, MI",105659,10,400,40,Very High,0.1,Very Low,Computer Support Specialist,Cyber Security Analyst / Specialist,Application Developer / Engineer,Cyber Security Engineer,IT Director,,,,,,3,2,8,3,0,2,2,16,<10,<10,<10,<10,0,1,0,0,0
,13140,,"Beaumont-Port Arthur, TX",408419,23,91,4,Low,0.1,Very Low,Cyber Security Analyst / Specialist,IT Specialist / Engineer,Application Manager,Unix Administrator / Engineer,Auditor,IT Director,,,,,4,8,18,2,0,2,7,46,<10,<10,<10,<10,2,3,2,1,3
,13220,,"Beckley, WV",122507,3,59,19.7,Very High,0,Very Low,Cyber Security Analyst / Specialist,,,,,,,,,,1,0,1,0,0,0,0,19,<10,<10,<10,<10,0,0,0,0,0
,13380,,"Bellingham, WA",212284,19,251,13.2,Very High,0.1,Very Low,Business Intelligence Developer / Architect,Cyber Security Analyst / Specialist,Systems Integration Engineer / Specialist,Cyber Security Engineer,Network Administrator,Systems Engineer,,,,,7,6,7,1,0,0,13,87,10,<10,<10,<10,0,7,0,0,0
,13460,,"Bend-Redmond, OR",175268,58,120,2.1,Very Low,0.3,Very Low,Cyber Security Analyst / Specialist,Systems Support Specialist,Auditor,Cyber Security Engineer,Network Engineer / Architect,Systems Administrator,Enterprise Architect,Network Administrator,Network Support Technician,Software Developer / Engineer,17,16,36,8,15,5,21,32,14,<10,<10,<10,0,23,0,2,3
,13740,,"Billings, MT",168283,33,139,4.2,Average,0.2,Very Low,Cyber Security Analyst / Specialist,Network Engineer / Architect,Telecommunications Specialist / Engineer,Auditor,Cyber Security Engineer,Help Desk Technician / Analyst,IT Director,IT Specialist / Engineer,Risk Manager / Analyst,Unix Administrator / Engineer,8,8,24,5,2,3,7,25,<10,<10,<10,<10,0,7,4,1,6
,13780,,"Binghamton, NY",246020,48,149,3.1,Very Low,0.2,Very Low,Cyber Security Analyst / Specialist,Information Assurance Engineer / Analyst,Systems Support Specialist,Computer Support Specialist,Network Engineer / Architect,Software Developer / Engineer,Systems Integration Engineer / Specialist,Cisco Engineer,Help Desk Technician / Analyst,IT Director,13,15,33,11,5,6,11,59,22,<10,<10,<10,6,14,0,0,1
