NECTA,fips,state,msa,population,total_postings,total_supply,supply_demand_ratio,supply_demand_qualifier,location_quotient,location_quotient_qualifier,top_job_1,top_job_2,top_job_3,top_job_4,top_job_5,top_job_6,top_job_7,top_job_8,top_job_9,top_job_10,analyze,securely_provision,operate_maintain,protect_defend,investigate,collect_operate,oversight_development,security+_holders,cissp_holders,cipp_holders,cisa_holders,cism_holders,giac_holders,security+_openings,cissp_openings,cipp_openings,cisa_openings,cism_openings,giac_openings
,18,IN,,6633053,2592,8421,3.25,Very Low,0.41,Very Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Vulnerability Analyst / Penetration Tester,Cyber Security Manager / Administrator,Systems Administrator,IT Auditor,Software Developer / Engineer,Cyber Security Architect,Incident Analyst / Responder,1147,1521,1749,1096,16,560,684,2182,646,70,304,94,406,137,622,12,361,225,283
,20,KS,,2907289,1623,5138,3.17,Very Low,0.55,Very Low,Cyber Security Engineer,Cyber Security Analyst,Cyber Security Manager / Administrator,Network Engineer / Architect,Systems Administrator,Systems Engineer,Cyber Security Specialist / Technician,Cyber Security Consultant,Systems Analyst,IT Director,510,922,1070,635,10,296,446,1584,468,17,193,69,274,258,272,2,143,98,133
,21,KY,,4436974,1769,5217,2.95,Very Low,0.44,Very Low,Cyber Security Engineer,Cyber Security Manager / Administrator,Cyber Security Analyst,Help Desk Technician / Analyst,Network Engineer / Architect,Systems Administrator,Systems Engineer,Software Developer / Engineer,Internal Auditor,Network Administrator,551,912,1176,570,6,296,457,1853,363,22,185,76,288,555,266,0,143,47,90
,22,LA,,4681666,1680,5137,3.06,Very Low,0.41,Very Low,Cyber Security Engineer,Cyber Security Specialist / Technician,Software Developer / Engineer,Cyber Security Manager / Administrator,Cyber Security Analyst,Network Engineer / Architect,Systems Administrator,Internal Auditor,Help Desk Technician / Analyst,Systems Engineer,489,908,1054,623,3,214,467,1594,309,11,170,55,285,201,317,8,196,86,154
,25,MA,,6811779,8093,20221,2.5,Very Low,1.1,Average,Cyber Security Engineer,Network Engineer / Architect,Cyber Security Analyst,Cyber Security Manager / Administrator,Systems Engineer,IT Auditor,Software Developer / Engineer,Internal Auditor,Technical Support Engineer / Analyst,Cyber Security Architect,2911,5180,5352,3065,22,1194,2627,1621,1602,188,863,286,788,512,1969,72,1200,760,646
,24,MD,,6016447,15242,33574,2.2,Very Low,2.71,Very High,Cyber Security Engineer,Software Developer / Engineer,Cyber Security Analyst,Network Engineer / Architect,Systems Engineer,Cyber Security Manager / Administrator,Systems Administrator,Information Assurance Engineer / Analyst,Cyber Security Specialist / Technician,Senior Software Developer / Engineer,5112,9183,10136,5815,186,2406,3115,14910,6309,148,980,662,3044,2684,4196,23,1021,903,1733
,23,ME,,1331479,581,2497,4.3,Low,0.46,Very Low,Cyber Security Engineer,Network Engineer / Architect,Cyber Security Analyst,College Professor / Instructor,IT Auditor,Software Developer / Engineer,Vulnerability Analyst / Penetration Tester,IT Director,Systems Administrator,SharePoint Developer,190,289,344,175,2,57,174,399,145,33,74,36,90,40,61,0,39,26,13
,26,MI,,9928300,7273,14255,1.96,Very Low,0.81,Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Cyber Security Architect,Cyber Security Consultant,IT Auditor,Vulnerability Analyst / Penetration Tester,Security Officer,Internal Auditor,2988,4287,4894,2928,53,1188,2423,1753,1121,74,720,191,698,379,1684,31,1065,555,545
,27,MN,,5519952,5849,15384,2.63,Very Low,0.98,Average,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Consultant,IT Auditor,Cyber Security Manager / Administrator,Software Developer / Engineer,Vulnerability Analyst / Penetration Tester,Cyber Security Architect,Internal Auditor,2475,3903,3599,2627,51,1044,2104,857,1190,190,652,237,654,106,1468,31,977,591,506
,29,MO,,6093000,4321,13834,3.2,Very Low,0.73,Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Systems Engineer,Cyber Security Specialist / Technician,IT Auditor,Internal Auditor,Systems Administrator,Vulnerability Analyst / Penetration Tester,Cyber Security Manager / Administrator,1717,2681,2799,1801,45,697,1143,2328,828,50,438,112,547,338,1033,6,654,372,332
