NECTA,fips,state,msa,population,total_postings,total_supply,supply_demand_ratio,supply_demand_qualifier,location_quotient,location_quotient_qualifier,top_job_1,top_job_2,top_job_3,top_job_4,top_job_5,top_job_6,top_job_7,top_job_8,top_job_9,top_job_10,analyze,securely_provision,operate_maintain,protect_defend,investigate,collect_operate,oversight_development,security+_holders,cissp_holders,cipp_holders,cisa_holders,cism_holders,giac_holders,security+_openings,cissp_openings,cipp_openings,cisa_openings,cism_openings,giac_openings
,24780,,"Greenville, NC",177220,29,88,3,Very Low,0.2,Very Low,Cyber Security Engineer,Vulnerability Analyst / Penetration Tester,Cyber Security Analyst,IT Auditor,Systems Engineer,Systems Administrator,Business Intelligence Analyst,,,,13,16,24,16,0,6,6,38,<10,<10,<10,<10,<10,4,6,0,3,5,1
,25060,,"Gulfport-Biloxi-Pascagoula, MS",391266,211,735,3.5,Very Low,0.7,Low,Systems Administrator,Cyber Security Specialist / Technician,Software Developer / Engineer,Incident Analyst / Responder,Cyber Security Analyst,Cyber Security Manager / Administrator,Network Engineer / Architect,Systems Engineer,Unix Administrator / Engineer,Data Scientist,82,70,146,67,0,24,42,1171,31,<10,<10,<10,78,80,39,0,6,3,26
,25180,,"Hagerstown-Martinsburg, MD-WV",263817,142,757,5.3,Average,0.7,Low,Cyber Security Analyst,Database Administrator,Cyber Security Engineer,Cyber Security Specialist / Technician,Network Engineer / Architect,Systems Administrator,Application Support Engineer / Analyst,Systems Engineer,Cyber Security Manager / Administrator,Network Administrator,67,61,96,73,4,36,33,591,169,<10,13,15,46,4,42,0,18,3,42
,25220,,"Hammond, LA",130710,7,50,7.1,High,0.1,Very Low,Cyber Security Engineer,Software Developer / Engineer,Systems Support Specialist,Cyber Security Manager / Administrator,,,,,,,1,4,4,3,0,1,5,37,<10,<10,<10,<10,<10,1,0,0,0,1,0
,25260,,"Hanford-Corcoran, CA",149785,56,109,2,Very Low,0.7,Low,Database Administrator,Network Administrator,Systems Administrator,Cyber Security Manager / Administrator,Oracle Database Administrator,Unix Administrator / Engineer,Systems Architect,Network Engineer / Architect,Cyber Security Engineer,Network Analyst / Specialist,17,11,37,10,0,6,16,52,<10,<10,<10,<10,<10,40,3,0,0,0,3
,25420,,"Harrisburg-Carlisle, PA",568033,529,1833,3.5,Very Low,0.8,Low,Cyber Security Engineer,Network Engineer / Architect,Cyber Security Analyst,Cyber Security Manager / Administrator,IT Specialist / Engineer,Systems Engineer,Systems Administrator,IT Auditor,Software Developer / Engineer,Cyber Security Specialist / Technician,212,286,337,199,5,73,145,742,149,13,77,31,150,80,115,0,65,18,47
,25500,,"Harrisonburg, VA",132822,33,153,4.6,Average,0.3,Very Low,Systems Administrator,Information Assurance Engineer / Analyst,IT Director,Systems Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Technical Support Engineer / Analyst,Cyber Security Engineer,GIS Analyst,IT Auditor,13,11,19,6,0,7,11,30,<10,<10,<10,<10,<10,6,7,0,0,0,2
73450,25540,,"Hartford-West Hartford-East Hartford, CT",1206836,921,3299,3.6,Very Low,0.8,Low,Cyber Security Engineer,Cyber Security Analyst,Cyber Security Manager / Administrator,Network Engineer / Architect,IT Auditor,Systems Engineer,Cyber Security Consultant,Cyber Security Architect,Software Developer / Engineer,Vulnerability Analyst / Penetration Tester,434,589,602,402,7,166,347,19,20,<10,180,61,140,19,195,4,184,92,55
,25620,,"Hattiesburg, MS",149138,12,76,6.3,Average,0.1,Very Low,Cyber Security Engineer,Cyber Security Specialist / Technician,Systems Administrator,,,,,,,,0,5,8,7,0,1,5,53,<10,<10,<10,<10,<10,1,0,0,0,0,0
,25860,,"Hickory-Lenoir-Morganton, NC",364187,74,418,5.7,Average,0.2,Very Low,Cyber Security Analyst,Cyber Security Engineer,Incident Analyst / Responder,Network Engineer / Architect,IT Project Manager,IT Director,Vulnerability Analyst / Penetration Tester,IT Manager,Cyber Security Manager / Administrator,Senior Business Analyst,51,49,56,43,0,33,20,31,<10,<10,<10,<10,16,0,12,0,2,3,0
